➜  ~ git:(main) ✗ dstat --cpu
--total-cpu-usage--
usr sys idl wai stl
  0   0 100   0   0
  0   0 100   0   0
  0   0 100   0   0
  1   0  99   0   0
 26   4  70   0   0
 55   9  36   0   0
 35   3  62   0   0
 20   3  77   0   0
 51   8  41   0   0
 52  10  38   0   0
 58   6  36   0   0
 45   7  47   0   0
 44   4  52   0   0
  0   0 100   0   0
  0   0  99   1   0
  1   0  99   0   0
 77   9  14   0   0
 86  12   2   0   0
 87  13   0   0   0
 91   9   0   0   0
 88  12   0   0   0
 86  14   0   0   0
 89  11   0   0   0
 86  14   0   0   0
 90  10   0   0   0
 90  10   0   0   0
 86  14   0   0   0
 20   3  77   0   0
  0   0 100   0   0
  0   0 100   0   0
 42   6  49   3   1
 91   9   0   0   0
 88  12   0   0   0
 87  13   0   0   0
 88  12   0   0   0
 89  11   0   0   0
 90  10   0   0   0
 89  11   0   0   0
 85  15   0   0   0
 85  15   0   0   0
 44   4  52   0   0
  0   0 100   0   0^C
➜  ~ git:(main) ✗
